ticker,filing_type,filing_date,section_used,text_length,positive,negative,neutral,net_score,pct_positive,pct_negative,n_chunks
ABBV,10-Q,2021-11-02,full_fallback,12800,0.03948,0.066226,0.894295,-0.026746,0.0,0.0,32
ABBV,10-Q,2022-05-06,full_fallback,14000,0.062479,0.150437,0.787083,-0.087958,0.028571,0.085714,35
ABBV,10-Q,2022-08-04,full_fallback,13200,0.027462,0.13036,0.842178,-0.102897,0.0,0.060606,33
ABBV,10-Q,2022-11-04,full_fallback,13200,0.036706,0.108508,0.854786,-0.071801,0.0,0.030303,33
ABBV,10-Q,2023-05-05,full_fallback,14000,0.048971,0.164277,0.786752,-0.115307,0.028571,0.114286,35
ABBV,10-Q,2023-08-07,full_fallback,12800,0.029694,0.105697,0.864608,-0.076003,0.0,0.0625,32
ABBV,10-Q,2023-11-06,full_fallback,12800,0.026949,0.150264,0.822787,-0.123315,0.0,0.125,32
ABBV,10-Q,2024-05-03,full_fallback,14400,0.028216,0.173313,0.798471,-0.145097,0.0,0.194444,36
ABBV,10-Q,2024-08-07,full_fallback,13200,0.030497,0.064736,0.904768,-0.034239,0.0,0.0,33
ABBV,10-Q,2024-11-04,full_fallback,13200,0.031837,0.079193,0.88897,-0.047356,0.0,0.030303,33
ABBV,10-Q,2025-05-09,full_fallback,14000,0.044094,0.120162,0.835744,-0.076069,0.028571,0.085714,35
ABBV,10-Q,2025-08-04,full_fallback,13600,0.029862,0.065136,0.905002,-0.035274,0.0,0.0,34
ABBV,10-Q,2025-11-04,full_fallback,13600,0.032057,0.081148,0.886795,-0.049091,0.0,0.029412,34
ABBV,10-K,2016-02-19,mda,8000,0.052062,0.101855,0.846083,-0.049792,0.0,0.0,20
ABBV,10-K,2017-02-17,full_fallback,14000,0.203607,0.131614,0.664779,0.071993,0.171429,0.085714,35
ABBV,10-K,2018-02-16,full_fallback,14000,0.186404,0.146311,0.667284,0.040093,0.171429,0.085714,35
ABBV,10-K,2019-02-27,full_fallback,14000,0.158744,0.12814,0.713116,0.030604,0.142857,0.057143,35
ABBV,10-K,2020-02-21,full_fallback,13600,0.024537,0.419273,0.55619,-0.394736,0.0,0.441176,34
